自定义相机编号,模穴号,坦克链号,日期,CCD0结果,结果返回码,Ai返回码
L29C1-1,28,21,05:06:32,OK,0,0,
L29C1-1,28,21,05:06:32,OK,0,0,
L29C1-1,27,21,05:06:32,OK,0,0,
L29C1-1,27,21,05:06:32,OK,0,0,
L29C1-1,20,21,05:06:32,OK,0,0,
L29C1-1,20,21,05:06:32,OK,0,0,
L29C1-1,19,21,05:06:32,OK,0,0,
L29C1-1,19,21,05:06:32,OK,0,0,
L29C1-1,12,21,05:06:32,OK,0,0,
L29C1-1,12,21,05:06:32,OK,0,0,
L29C1-1,11,21,05:06:32,OK,0,0,
L29C1-1,11,21,05:06:32,OK,0,0,
L29C1-1,4,21,05:06:32,OK,0,0,
L29C1-1,4,21,05:06:32,OK,0,0,
L29C1-1,3,21,05:06:32,OK,0,0,
L29C1-1,3,21,05:06:32,OK,0,0,

L29C1-1,25,23,05:06:37,OK,0,0,
L29C1-1,25,23,05:06:37,OK,0,0,
L29C1-1,26,23,05:06:37,OK,0,0,
L29C1-1,26,23,05:06:37,OK,0,0,
L29C1-1,17,23,05:06:37,OK,0,0,
L29C1-1,17,23,05:06:37,OK,0,0,
L29C1-1,18,23,05:06:37,OK,0,0,
L29C1-1,18,23,05:06:37,OK,0,0,
L29C1-1,9,23,05:06:37,OK,0,0,
L29C1-1,9,23,05:06:37,OK,0,0,
L29C1-1,10,23,05:06:37,OK,0,0,
L29C1-1,10,23,05:06:37,OK,0,0,
L29C1-1,1,23,05:06:37,OK,0,0,
L29C1-1,1,23,05:06:37,OK,0,0,
L29C1-1,2,23,05:06:37,OK,0,0,
L29C1-1,2,23,05:06:37,OK,0,0,

L29C1-1,28,25,05:06:43,OK,0,0,
L29C1-1,28,25,05:06:43,OK,0,0,
L29C1-1,27,25,05:06:43,OK,0,0,
L29C1-1,27,25,05:06:43,OK,0,0,
L29C1-1,20,25,05:06:43,OK,0,0,
L29C1-1,20,25,05:06:43,OK,0,0,
L29C1-1,19,25,05:06:43,OK,0,0,
L29C1-1,19,25,05:06:43,OK,0,0,
L29C1-1,12,25,05:06:43,OK,0,0,
L29C1-1,12,25,05:06:43,OK,0,0,
L29C1-1,11,25,05:06:43,OK,0,0,
L29C1-1,11,25,05:06:43,OK,0,0,
L29C1-1,4,25,05:06:43,NG,1,3,
L29C1-1,4,25,05:06:43,OK,0,0,
L29C1-1,3,25,05:06:43,OK,0,0,
L29C1-1,3,25,05:06:43,OK,0,0,

L29C1-1,25,27,05:06:48,OK,0,0,
L29C1-1,25,27,05:06:48,OK,0,0,
L29C1-1,26,27,05:06:48,OK,0,0,
L29C1-1,26,27,05:06:48,OK,0,0,
