自定义相机编号,模穴号,坦克链号,日期,CCD0结果,结果返回码,Ai返回码
L29C1-1,25,3,02:36:10,OK,0,0,
L29C1-1,25,3,02:38:50,OK,0,0,
L29C1-1,25,3,02:39:11,OK,0,0,
L29C1-1,28,13,02:40:05,OK,0,0,
L29C1-1,28,25,02:44:13,OK,0,0,
L29C1-1,25,27,02:47:08,OK,0,0,
L29C1-1,25,7,02:58:28,OK,0,0,
L29C1-1,28,9,02:59:32,OK,0,0,
L29C1-1,28,9,03:00:31,OK,0,0,
L29C1-1,28,9,03:01:13,OK,0,0,
L29C1-1,28,9,03:01:13,OK,0,0,
L29C1-1,28,1,03:02:31,OK,0,0,
L29C1-1,28,13,03:03:04,OK,0,0,
L29C1-1,25,15,03:04:30,OK,0,0,
L29C1-1,28,17,03:04:39,OK,0,0,
L29C1-1,25,19,03:06:14,OK,0,0,
L29C1-1,28,21,03:09:19,OK,0,0,
L29C1-1,25,23,03:15:48,OK,0,0,
L29C1-1,25,19,03:24:59,OK,0,0,
L29C1-1,28,21,03:26:05,OK,0,0,
L29C1-1,25,27,03:32:36,OK,0,0,
L29C1-1,28,1,03:35:34,OK,0,0,
L29C1-1,25,3,03:57:40,OK,0,0,
L29C1-1,28,5,04:00:31,OK,0,0,
L29C1-1,25,19,05:10:58,OK,0,0,
L29C1-1,28,21,05:13:05,OK,0,0,
L29C1-1,25,11,05:13:55,OK,0,0,
L29C1-1,28,13,05:14:54,OK,0,0,
L29C1-1,28,21,05:19:19,OK,0,0,
L29C1-1,25,23,05:20:00,OK,0,0,
L29C1-1,25,7,05:24:40,OK,0,0,
L29C1-1,28,9,05:28:06,OK,0,0,
L29C1-1,25,7,05:30:59,OK,0,0,
L29C1-1,25,27,05:33:29,OK,0,0,
L29C1-1,25,11,05:34:00,OK,0,0,
L29C1-1,28,13,05:34:49,OK,0,0,
L29C1-1,28,13,05:34:49,OK,0,0,
L29C1-1,25,15,05:35:56,OK,0,0,
L29C1-1,25,15,05:59:31,OK,0,0,
L29C1-1,28,17,06:02:13,OK,0,0,
L29C1-1,25,7,06:08:52,OK,0,0,
L29C1-1,28,9,06:16:59,OK,0,0,
L29C1-1,28,13,06:43:16,OK,0,0,
L29C1-1,25,15,06:45:13,OK,0,0,
L29C1-1,25,11,07:37:39,OK,0,0,
L29C1-1,28,13,07:39:49,OK,0,0,
L29C1-1,25,7,07:43:36,OK,0,0,
L29C1-1,28,9,07:44:59,OK,0,0,
L29C1-1,25,11,07:53:35,OK,0,0,
L29C1-1,28,13,07:58:33,OK,0,0,
L29C1-1,25,11,09:08:41,OK,0,0,
L29C1-1,28,13,09:10:12,OK,0,0,
L29C1-1,28,25,09:10:44,OK,0,0,
L29C1-1,25,27,09:14:30,OK,0,0,
L29C1-1,28,13,09:45:10,OK,0,0,
L29C1-1,28,17,09:46:47,OK,0,0,
L29C1-1,28,17,09:46:47,OK,0,0,
L29C1-1,25,27,09:47:41,OK,0,0,
L29C1-1,25,19,10:19:27,OK,0,0,
L29C1-1,28,21,10:27:48,OK,0,0,
L29C1-1,25,15,10:34:10,OK,0,0,
L29C1-1,28,17,10:36:17,OK,0,0,
L29C1-1,28,9,10:41:17,OK,0,0,
L29C1-1,25,11,10:43:37,OK,0,0,
L29C1-1,25,19,10:46:10,OK,0,0,
L29C1-1,28,1,10:49:07,OK,0,0,
L29C1-1,28,17,10:49:52,OK,0,0,
L29C1-1,25,19,10:50:48,OK,0,0,
L29C1-1,28,25,11:21:30,OK,0,0,
L29C1-1,25,27,11:22:17,OK,0,0,
L29C1-1,25,11,11:32:52,OK,0,0,
L29C1-1,28,13,11:33:54,OK,0,0,
L29C1-1,28,25,11:36:59,OK,0,0,
L29C1-1,25,27,11:42:38,OK,0,0,
L29C1-1,28,21,11:50:04,OK,0,0,
L29C1-1,25,23,11:50:53,OK,0,0,
L29C1-1,28,13,12:00:33,OK,0,0,
L29C1-1,25,15,12:08:06,OK,0,0,
L29C1-1,25,11,12:10:28,OK,0,0,
L29C1-1,28,13,12:11:46,OK,0,0,
L29C1-1,25,15,12:26:40,OK,0,0,
L29C1-1,28,17,12:27:32,OK,0,0,
L29C1-1,25,11,12:31:23,OK,0,0,
L29C1-1,28,13,12:32:09,OK,0,0,
L29C1-1,28,13,12:58:07,OK,0,0,
L29C1-1,25,15,12:58:57,OK,0,0,
L29C1-1,25,11,13:12:25,OK,0,0,
L29C1-1,28,13,13:13:29,OK,0,0,
L29C1-1,25,7,13:29:37,OK,0,0,
L29C1-1,25,19,13:45:55,OK,0,0,
L29C1-1,28,13,13:58:26,OK,0,0,
L29C1-1,25,15,14:04:47,OK,0,0,
L29C1-1,25,15,14:16:00,OK,0,0,
L29C1-1,28,17,14:19:35,OK,0,0,
L29C1-1,28,21,14:32:09,OK,0,0,
L29C1-1,25,23,14:33:19,OK,0,0,
L29C1-1,28,25,14:36:12,OK,0,0,
L29C1-1,25,27,14:37:22,OK,0,0,
L29C1-1,28,13,14:44:09,OK,0,0,
L29C1-1,25,15,14:44:55,OK,0,0,
L29C1-1,25,15,14:51:09,OK,0,0,
L29C1-1,28,17,14:53:15,OK,0,0,
L29C1-1,28,1,14:53:47,OK,0,0,
L29C1-1,28,1,15:03:38,OK,0,0,
L29C1-1,28,9,15:03:59,OK,0,0,
L29C1-1,25,11,15:07:13,OK,0,0,
L29C1-1,28,21,15:07:45,OK,0,0,
L29C1-1,25,23,15:08:28,OK,0,0,
L29C1-1,28,17,15:18:09,OK,0,0,
L29C1-1,25,19,15:19:42,OK,0,0,
L29C1-1,25,3,15:25:47,OK,0,0,
L29C1-1,28,17,15:29:06,OK,0,0,
L29C1-1,28,1,15:38:55,OK,0,0,
L29C1-1,25,3,15:39:59,OK,0,0,
L29C1-1,25,3,15:58:10,OK,0,0,
L29C1-1,28,5,15:59:52,OK,0,0,
L29C1-1,28,9,16:00:03,OK,0,0,
L29C1-1,25,11,16:00:54,OK,0,0,
L29C1-1,28,21,16:14:16,OK,0,0,
L29C1-1,28,1,16:16:21,OK,0,0,
L29C1-1,28,25,16:19:58,OK,0,0,
L29C1-1,25,23,16:25:20,OK,0,0,
L29C1-1,25,7,16:25:57,OK,0,0,
L29C1-1,28,9,16:27:19,OK,0,0,
L29C1-1,25,11,16:27:32,OK,0,0,
L29C1-1,28,13,16:28:51,OK,0,0,
L29C1-1,25,15,16:30:25,OK,0,0,
L29C1-1,28,17,16:41:38,OK,0,0,
L29C1-1,28,13,16:42:42,OK,0,0,
L29C1-1,25,15,16:48:56,OK,0,0,
L29C1-1,25,3,16:49:39,OK,0,0,
L29C1-1,28,5,16:50:26,OK,0,0,
L29C1-1,25,3,17:04:15,OK,0,0,
L29C1-1,28,5,17:15:52,OK,0,0,
L29C1-1,28,17,17:22:02,OK,0,0,
L29C1-1,25,19,17:22:44,OK,0,0,
L29C1-1,28,21,18:26:37,OK,0,0,
L29C1-1,25,23,18:30:20,OK,0,0,
L29C1-1,25,7,18:30:53,OK,0,0,
L29C1-1,28,9,18:31:58,OK,0,0,
L29C1-1,25,11,18:40:38,OK,0,0,
L29C1-1,28,13,18:41:40,OK,0,0,
L29C1-1,28,13,18:41:40,OK,0,0,
L29C1-1,25,15,18:43:12,OK,0,0,
L29C1-1,25,15,18:43:12,OK,0,0,
L29C1-1,28,17,18:44:24,OK,0,0,
L29C1-1,25,3,20:37:19,OK,0,0,
L29C1-1,28,5,20:40:00,OK,0,0,
